总资产周转率,0.38 ,0.24 ,0.12 ,0.48 ,0.36 ,0.22 ,0.11 ,0.45 ,0.35 ,0.22 ,0.12 ,0.45 ,0.35 ,0.22 ,0.11 ,
净资产收益率,0.07 ,0.05 ,0.05 ,0.18 ,0.18 ,0.09 ,0.06 ,0.24 ,0.24 ,0.17 ,0.04 ,0.20 ,0.15 ,0.07 ,0.02 ,
总资产净利率,0.04 ,0.03 ,0.03 ,0.10 ,0.10 ,0.05 ,0.03 ,0.12 ,0.12 ,0.08 ,0.02 ,0.10 ,0.07 ,0.03 ,0.01 ,
销售净利率,0.10 ,0.11 ,0.21 ,0.20 ,28.48 ,0.24 ,0.30 ,0.28 ,0.35 ,0.38 ,0.17 ,0.21 ,0.20 ,0.16 ,0.09 ,
销售毛利率,0.38 ,0.38 ,0.40 ,0.41 ,0.44 ,0.44 ,0.45 ,0.45 ,0.47 ,0.46 ,0.48 ,0.45 ,0.47 ,0.46 ,0.46 ,
销售成本率,0.62 ,0.62 ,0.60 ,0.59 ,0.56 ,0.57 ,0.55 ,0.55 ,0.53 ,0.54 ,0.52 ,0.55 ,0.53 ,0.55 ,0.54 ,
净利润/营业总收入,0.10 ,0.11 ,0.21 ,0.20 ,0.28 ,0.24 ,0.30 ,0.28 ,0.35 ,0.38 ,0.17 ,0.21 ,0.20 ,0.16 ,0.09 ,
所得税/利润总额,0.27 ,0.25 ,0.25 ,0.17 ,0.13 ,0.15 ,0.19 ,0.13 ,0.11 ,0.10 ,0.26 ,0.17 ,0.17 ,0.19 ,0.43 ,
经营活动产生的现金流量净额/营业收入,0.23 ,0.17 ,0.16 ,0.32 ,0.39 ,0.34 ,0.33 ,0.35 ,0.45 ,0.35 ,0.30 ,0.40 ,0.47 ,0.41 ,0.45 ,
每股净资产,0.04 ,0.03 ,0.04 ,0.23 ,0.23 ,0.13 ,0.07 ,0.07 ,0.07 ,0.07 ,0.05 ,0.34 ,0.25 ,0.14 ,0.07 ,
总资产,0.04 ,0.02 ,0.01 ,0.29 ,0.25 ,0.09 ,0.04 ,0.36 ,0.37 ,0.20 ,0.06 ,0.35 ,0.28 ,0.15 ,0.11 ,
归属母公司的股东权益,0.04 ,0.03 ,0.04 ,0.24 ,0.24 ,0.14 ,0.07 ,0.53 ,0.51 ,0.22 ,0.06 ,0.35 ,0.26 ,0.15 ,0.07 ,
资产负债率,0.36 ,0.36 ,0.35 ,0.36 ,0.34 ,0.32 ,0.32 ,0.33 ,0.34 ,0.37 ,0.37 ,0.36 ,0.38 ,0.39 ,0.40 ,
流动比率,1.64 ,1.65 ,1.76 ,1.70 ,1.67 ,1.99 ,1.98 ,1.91 ,1.75 ,1.38 ,1.38 ,1.30 ,1.25 ,1.42 ,1.44 ,
产权比率,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,
权益乘数,1.81 ,1.79 ,1.76 ,1.80 ,1.75 ,1.67 ,1.69 ,1.74 ,1.77 ,1.92 ,1.96 ,1.96 ,1.99 ,1.96 ,2.03 ,
流动资产/总资产,0.38 ,0.37 ,0.38 ,0.38 ,0.37 ,0.36 ,0.36 ,0.35 ,0.35 ,0.29 ,0.29 ,0.28 ,0.29 ,0.29 ,0.30 ,
非流动资产/总资产,0.62 ,0.63 ,0.62 ,0.62 ,0.63 ,0.64 ,0.64 ,0.65 ,0.65 ,0.71 ,0.71 ,0.72 ,0.71 ,0.71 ,0.70 ,
流动负债/负债合计,0.64 ,0.63 ,0.62 ,0.62 ,0.65 ,0.58 ,0.56 ,0.56 ,0.58 ,0.56 ,0.56 ,0.59 ,0.60 ,0.52 ,0.51 ,
非流动负债/负债合计,0.36 ,0.37 ,0.38 ,0.38 ,0.35 ,0.42 ,0.44 ,0.44 ,0.42 ,0.44 ,0.44 ,0.41 ,0.40 ,0.48 ,0.49 ,
归属母公司股东的权益/负债合计,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,
